id_version,NC,mWMC,mcBC
73e653e3f409c71ce1cd536917c7d723ccb791bb,936,19.63889,0.15090626
3fed84bfc443541e74630be868c0f864afc977f7,931,19.677765,0.1515108
d490328f12df127ee3270cd1e8267867992e17e4,931,19.67884,0.15150973
0463502c408986f0320473cd6cfab1a136a60ea0,931,19.687433,0.15150681
2854c657dcf32e958991213f08f690aefb6607ef,931,19.718582,0.15149763
f502e8fd3aeb575189493c98302cea93b11353f2,931,19.719656,0.15149741
34892823d2a8e6d64d4142975b87298949066043,931,19.706766,0.15150686
d2d2c292d369ecc6562b635554bf910ff9921d9b,925,19.770811,0.15213507
88022d8c7e9a73f079abc2cea3f2674689c78652,925,19.713514,0.15244547
01c03629bfaca04672c6abac6ba1b2f9c0d233f7,925,19.687567,0.15267758
03247d0b17c1b471d6409737d3d670c520690411,923,19.643553,0.15324734
7294ffa470f7ac53fda30f95bc1da0139485fa75,923,19.643553,0.15324734
