chemin, class, classes_LOC, classe_CLOL, classe_DC, WMC, classe_BC
src\main\java\org\jfree\chart\axis\AxisLabelLocation.java, AxisLabelLocation, 47, 36, 0.7659574468085106, 1, 0.7659574468085106
src\main\java\org\jfree\chart\axis\AxisLocation.java, AxisLocation, 81, 50, 0.6172839506172839, 3, 0.20576131687242796
src\main\java\org\jfree\chart\axis\AxisSpace.java, AxisSpace, 342, 148, 0.4327485380116959, 43, 0.01006391948864409
src\main\java\org\jfree\chart\axis\AxisState.java, AxisState, 175, 104, 0.5942857142857143, 14, 0.04244897959183674
src\main\java\org\jfree\chart\axis\CategoryAnchor.java, CategoryAnchor, 48, 37, 0.7708333333333334, 1, 0.7708333333333334
src\main\java\org\jfree\chart\axis\CategoryAxis.java, CategoryAxis, 1296, 566, 0.4367283950617284, 107, 0.00408157378562363
src\main\java\org\jfree\chart\axis\CategoryLabelPosition.java, CategoryLabelPosition, 229, 125, 0.5458515283842795, 17, 0.032108913434369384
src\main\java\org\jfree\chart\axis\CategoryLabelPositions.java, CategoryLabelPositions, 366, 164, 0.44808743169398907, 14, 0.03200624512099922
src\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java, CategoryLabelWidthType, 45, 35, 0.7777777777777778, 1, 0.7777777777777778
src\main\java\org\jfree\chart\axis\CategoryTick.java, CategoryTick, 132, 72, 0.5454545454545454, 10, 0.05454545454545454
src\main\java\org\jfree\chart\axis\CompassFormat.java, CompassFormat, 140, 87, 0.6214285714285714, 7, 0.08877551020408163
src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java, CyclicNumberAxis, 1048, 400, 0.3816793893129771, 93, 0.004104079454978249
src\main\java\org\jfree\chart\axis\DateAxis.java, DateAxis, 1670, 603, 0.36107784431137724, 140, 0.0025791274593669803
src\main\java\org\jfree\chart\axis\DateTick.java, DateTick, 120, 73, 0.6083333333333333, 6, 0.10138888888888888
src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java, DateTickMarkPosition, 53, 42, 0.7924528301886793, 1, 0.7924528301886793
src\main\java\org\jfree\chart\axis\DateTickUnit.java, DateTickUnit, 317, 173, 0.5457413249211357, 30, 0.01819137749737119
src\main\java\org\jfree\chart\axis\DateTickUnitType.java, DateTickUnitType, 74, 51, 0.6891891891891891, 2, 0.34459459459459457
src\main\java\org\jfree\chart\axis\ExtendedCategoryAxis.java, ExtendedCategoryAxis, 230, 119, 0.5173913043478261, 18, 0.028743961352657006
src\main\java\org\jfree\chart\axis\LogarithmicAxis.java, LogarithmicAxis, 951, 451, 0.47423764458464773, 96, 0.004939975464423414
